Date,People
7-Dec,46
7-Dec,38
7-Dec,24
7-Dec,14
7-Dec,13
7-Dec,14
7-Dec,13
7-Dec,18
7-Dec,15
7-Dec,12
7-Dec,12
7-Dec,7
7-Dec,5
7-Dec,12
7-Dec,12
7-Dec,4
7-Dec,7
7-Dec,5
7-Dec,4
7-Dec,3
7-Dec,4
7-Dec,4
7-Dec,2
8-Dec,0
8-Dec,0
8-Dec,0
8-Dec,0
8-Dec,0
8-Dec,1
8-Dec,0
8-Dec,0
8-Dec,0
8-Dec,0
8-Dec,0
8-Dec,0
8-Dec,0
8-Dec,0
8-Dec,1
8-Dec,4
8-Dec,1
8-Dec,1
8-Dec,4
8-Dec,6
8-Dec,8
8-Dec,5
8-Dec,7
8-Dec,7
8-Dec,11
8-Dec,13
8-Dec,12
8-Dec,7
8-Dec,9
8-Dec,20
8-Dec,4
8-Dec,5
8-Dec,6
8-Dec,10
8-Dec,4
8-Dec,13
8-Dec,8
8-Dec,10
8-Dec,6
8-Dec,13
8-Dec,6
8-Dec,8
8-Dec,6
8-Dec,4
8-Dec,3
8-Dec,1
8-Dec,0
8-Dec,2
9-Dec,0
9-Dec,2
9-Dec,1
9-Dec,0
9-Dec,0
9-Dec,0
9-Dec,3
9-Dec,0
9-Dec,2
9-Dec,5
9-Dec,1
9-Dec,1
9-Dec,0
9-Dec,2
9-Dec,5
9-Dec,14
9-Dec,24
9-Dec,35
9-Dec,29
9-Dec,25
9-Dec,22
9-Dec,21
9-Dec,11
9-Dec,16
9-Dec,18
9-Dec,33
9-Dec,34
9-Dec,37
9-Dec,35
9-Dec,22
9-Dec,25
9-Dec,14
9-Dec,14
9-Dec,15
9-Dec,12
9-Dec,23
9-Dec,24
9-Dec,13
9-Dec,13
9-Dec,18
9-Dec,20
9-Dec,4
9-Dec,7
9-Dec,5
9-Dec,2
9-Dec,2
9-Dec,5
9-Dec,3
10-Dec,1
10-Dec,1
10-Dec,0
10-Dec,0
10-Dec,0
10-Dec,0
10-Dec,2
10-Dec,1
10-Dec,0
10-Dec,5
10-Dec,0
10-Dec,1
10-Dec,1
10-Dec,3
10-Dec,12
10-Dec,10
10-Dec,19
10-Dec,32
10-Dec,36
10-Dec,32
10-Dec,20
10-Dec,25
10-Dec,16
10-Dec,20
10-Dec,36
10-Dec,26
10-Dec,55
10-Dec,33
10-Dec,35
10-Dec,20
10-Dec,13
10-Dec,15
10-Dec,19
10-Dec,8
10-Dec,9
10-Dec,17
10-Dec,18
10-Dec,31
10-Dec,24
10-Dec,19
10-Dec,15
10-Dec,5
10-Dec,10
10-Dec,9
10-Dec,5
10-Dec,0
10-Dec,0
10-Dec,1
11-Dec,0
11-Dec,1
11-Dec,0
11-Dec,1
11-Dec,0
11-Dec,0
11-Dec,4
11-Dec,1
11-Dec,0
11-Dec,2
11-Dec,4
11-Dec,3
11-Dec,4
11-Dec,3
11-Dec,4
11-Dec,6
11-Dec,16
11-Dec,36
11-Dec,38
11-Dec,39
11-Dec,17
11-Dec,24
11-Dec,17
11-Dec,17
11-Dec,17
11-Dec,31
11-Dec,41
11-Dec,42
11-Dec,46
11-Dec,21
11-Dec,26
11-Dec,20
11-Dec,25
11-Dec,14
11-Dec,22
11-Dec,13
11-Dec,25
11-Dec,12
11-Dec,22
11-Dec,11
11-Dec,8
11-Dec,8
11-Dec,4
11-Dec,2
11-Dec,5
11-Dec,4
11-Dec,2
11-Dec,1
12-Dec,0
12-Dec,3
12-Dec,2
12-Dec,0
12-Dec,0
12-Dec,1
12-Dec,6
12-Dec,1
12-Dec,1
12-Dec,2
12-Dec,0
12-Dec,3
12-Dec,0
12-Dec,3
12-Dec,5
12-Dec,8
12-Dec,13
12-Dec,34
12-Dec,27
12-Dec,40
12-Dec,22
12-Dec,22
12-Dec,23
12-Dec,20
12-Dec,25
12-Dec,32
12-Dec,34
12-Dec,29
12-Dec,34
12-Dec,24
12-Dec,27
12-Dec,25
12-Dec,14
12-Dec,18
12-Dec,16
12-Dec,29
12-Dec,35
12-Dec,22
12-Dec,26
12-Dec,15
12-Dec,11
12-Dec,11
12-Dec,4
12-Dec,11
12-Dec,1
12-Dec,3
12-Dec,6
12-Dec,0
13-Dec,1
13-Dec,1
13-Dec,0
13-Dec,1
13-Dec,2
13-Dec,2
13-Dec,2
13-Dec,5
13-Dec,2
13-Dec,2
13-Dec,0
13-Dec,0
13-Dec,0
13-Dec,3
13-Dec,6
13-Dec,6
13-Dec,10
13-Dec,27
13-Dec,32
13-Dec,28
13-Dec,27
13-Dec,21
13-Dec,23
13-Dec,20
13-Dec,24
13-Dec,26
13-Dec,27
13-Dec,37
13-Dec,28
13-Dec,19
13-Dec,16
13-Dec,21
13-Dec,14
13-Dec,15
13-Dec,11
13-Dec,13
13-Dec,22
13-Dec,19
13-Dec,15
13-Dec,20
13-Dec,10
13-Dec,4
13-Dec,10
13-Dec,8
13-Dec,1
13-Dec,6
13-Dec,1
13-Dec,1
14-Dec,0
14-Dec,0
14-Dec,1
14-Dec,0
14-Dec,0
14-Dec,1
14-Dec,0
14-Dec,0
14-Dec,0
14-Dec,2
14-Dec,4
14-Dec,0
14-Dec,0
14-Dec,0
14-Dec,3
14-Dec,1
14-Dec,0
14-Dec,4
14-Dec,10
14-Dec,11
14-Dec,16
14-Dec,12
14-Dec,15
14-Dec,13
14-Dec,10
14-Dec,17
14-Dec,20
14-Dec,15
14-Dec,8
14-Dec,22
14-Dec,11
14-Dec,10
14-Dec,18
14-Dec,11
14-Dec,14
14-Dec,7
14-Dec,4
14-Dec,8
14-Dec,6
14-Dec,7
14-Dec,17
14-Dec,3
14-Dec,4
14-Dec,1
14-Dec,8
14-Dec,0
14-Dec,1
14-Dec,6
15-Dec,0
15-Dec,1
15-Dec,1
15-Dec,0
15-Dec,0
15-Dec,0
15-Dec,0
15-Dec,0
15-Dec,0
15-Dec,0
15-Dec,0
15-Dec,1
15-Dec,0
15-Dec,0
15-Dec,0
15-Dec,0
15-Dec,0
15-Dec,5
15-Dec,4
15-Dec,11
15-Dec,5
15-Dec,11
15-Dec,4
15-Dec,11
15-Dec,3
15-Dec,8
15-Dec,8
15-Dec,10
15-Dec,12
15-Dec,11
15-Dec,5
15-Dec,11
15-Dec,9
15-Dec,2
15-Dec,7
15-Dec,10
15-Dec,10
15-Dec,6
15-Dec,11
15-Dec,6
15-Dec,3
15-Dec,8
15-Dec,1
15-Dec,3
15-Dec,3
15-Dec,3
15-Dec,2
15-Dec,0
16-Dec,1
16-Dec,1
16-Dec,1
16-Dec,0
16-Dec,1
16-Dec,0
16-Dec,6
16-Dec,1
16-Dec,0
16-Dec,8
16-Dec,0
16-Dec,0
16-Dec,2
16-Dec,3
16-Dec,6
16-Dec,7
16-Dec,16
16-Dec,37
16-Dec,32
16-Dec,20
16-Dec,31
16-Dec,23
16-Dec,31
16-Dec,28
16-Dec,24
16-Dec,36
16-Dec,24
16-Dec,25
16-Dec,29
16-Dec,22
16-Dec,28
16-Dec,18
16-Dec,14
16-Dec,14
16-Dec,13
16-Dec,21
16-Dec,17
16-Dec,12
16-Dec,25
16-Dec,20
16-Dec,8
16-Dec,11
16-Dec,6
16-Dec,2
16-Dec,5
16-Dec,0
16-Dec,2
16-Dec,1
17-Dec,1
17-Dec,1
17-Dec,0
17-Dec,0
17-Dec,0
17-Dec,0
17-Dec,2
17-Dec,2
17-Dec,3
17-Dec,4
17-Dec,0
17-Dec,1
17-Dec,2
17-Dec,6
17-Dec,6
17-Dec,4
17-Dec,32
17-Dec,43
17-Dec,33
17-Dec,28
17-Dec,41
17-Dec,20
17-Dec,29
17-Dec,25
17-Dec,14
17-Dec,28
17-Dec,27
17-Dec,24
17-Dec,27
17-Dec,26
17-Dec,21
17-Dec,31
17-Dec,19
17-Dec,19
17-Dec,14
17-Dec,16
17-Dec,25
17-Dec,17
17-Dec,10
17-Dec,16
17-Dec,15
17-Dec,3
17-Dec,4
17-Dec,8
17-Dec,0
17-Dec,0
17-Dec,0
17-Dec,4
